id	country	sampling date d/m/Y
EPI_ISL_418967	USA	11/03/2020
EPI_ISL_418971	USA	16/03/2020
EPI_ISL_418972	USA	17/03/2020
EPI_ISL_418973	USA	17/03/2020
EPI_ISL_418974	USA	17/03/2020
EPI_ISL_418975	USA	17/03/2020
EPI_ISL_418976	USA	17/03/2020
EPI_ISL_418977	USA	17/03/2020
EPI_ISL_418978	USA	17/03/2020
EPI_ISL_418979	USA	17/03/2020
EPI_ISL_418980	USA	17/03/2020
EPI_ISL_418981	Belgium	06/03/2020
EPI_ISL_418982	Belgium	09/03/2020
EPI_ISL_418983	Belgium	09/03/2020
EPI_ISL_418984	Belgium	09/03/2020
EPI_ISL_418985	Belgium	09/03/2020
EPI_ISL_418986	Belgium	02/03/2020
EPI_ISL_418987	Belgium	01/03/2020
EPI_ISL_418988	Belgium	04/03/2020
EPI_ISL_418989	Belgium	04/03/2020
EPI_ISL_418990	China	03/02/2020
EPI_ISL_418991	China	04/02/2020
EPI_ISL_418992	Singapore	10/02/2020
EPI_ISL_418993	Singapore	29/01/2020
EPI_ISL_418994	Singapore	29/01/2020
EPI_ISL_418995	Singapore	28/02/2020
EPI_ISL_418996	Singapore	27/01/2020
EPI_ISL_418997	Singapore	06/02/2020
EPI_ISL_418998	Singapore	14/02/2020
EPI_ISL_418999	Singapore	01/03/2020
EPI_ISL_419000	Singapore	13/02/2020
EPI_ISL_419001	Singapore	02/03/2020
EPI_ISL_419168	France	17/03/2020
EPI_ISL_419169	France	21/03/2020
EPI_ISL_419170	France	21/03/2020
EPI_ISL_419171	France	21/03/2020
EPI_ISL_419172	France	21/03/2020
EPI_ISL_419173	France	21/03/2020
EPI_ISL_419174	France	20/03/2020
EPI_ISL_419175	France	21/03/2020
EPI_ISL_419176	France	21/03/2020
EPI_ISL_419177	France	22/03/2020
EPI_ISL_419178	France	22/03/2020
EPI_ISL_419179	France	22/03/2020
EPI_ISL_419180	France	22/03/2020
EPI_ISL_419181	France	22/03/2020
EPI_ISL_419182	France	22/03/2020
EPI_ISL_419183	France	22/03/2020
EPI_ISL_419184	France	22/03/2020
EPI_ISL_419185	France	22/03/2020
EPI_ISL_419186	France	22/03/2020
EPI_ISL_419187	France	22/03/2020
EPI_ISL_419188	France	22/03/2020
EPI_ISL_419210	Israel	01/03/2020
EPI_ISL_419211	Israel	23/02/2020
EPI_ISL_419213	China	09/02/2020
EPI_ISL_419214	China	10/02/2020
EPI_ISL_419215	China	10/02/2020
EPI_ISL_419216	China	10/02/2020
EPI_ISL_419217	China	10/02/2020
EPI_ISL_419218	China	10/02/2020
EPI_ISL_419219	China	10/02/2020
EPI_ISL_419221	China	11/02/2020
EPI_ISL_419222	China	11/02/2020
EPI_ISL_419223	China	11/02/2020
EPI_ISL_419224	China	13/02/2020
EPI_ISL_419225	China	13/02/2020
EPI_ISL_419226	China	13/02/2020
EPI_ISL_419227	China	15/02/2020
EPI_ISL_419228	China	17/02/2020
EPI_ISL_419229	China	17/02/2020
EPI_ISL_419230	Spain	05/03/2020
EPI_ISL_419231	China	19/02/2020
EPI_ISL_419232	China	19/02/2020
EPI_ISL_419233	Spain	04/03/2020
EPI_ISL_419234	Spain	03/03/2020
EPI_ISL_419235	Spain	07/03/2020
EPI_ISL_419236	Spain	07/03/2020
EPI_ISL_419237	Spain	07/03/2020
EPI_ISL_419238	Spain	05/03/2020
EPI_ISL_419240	Spain	03/03/2020
EPI_ISL_419241	China	19/02/2020
EPI_ISL_419242	China	23/02/2020
EPI_ISL_419243	China	22/02/2020
EPI_ISL_419244	China	22/02/2020
EPI_ISL_419245	China	22/02/2020
EPI_ISL_419247	China	24/02/2020
EPI_ISL_419248	China	24/02/2020
EPI_ISL_419249	China	25/02/2020
EPI_ISL_419250	China	26/02/2020
EPI_ISL_419251	China	26/02/2020
EPI_ISL_419252	China	26/02/2020
EPI_ISL_419253	China	26/02/2020
EPI_ISL_419254	Italy	23/03/2020
EPI_ISL_419255	Italy	23/03/2020
EPI_ISL_419256	USA	16/03/2020
EPI_ISL_419257	USA	19/03/2020
EPI_ISL_419258	USA	19/03/2020
EPI_ISL_419259	Belgium	24/03/2020
EPI_ISL_419260	USA	08/03/2020
EPI_ISL_419261	USA	09/03/2020
EPI_ISL_419262	USA	09/03/2020
EPI_ISL_419263	USA	10/03/2020
EPI_ISL_419264	Belgium	20/03/2020
EPI_ISL_419265	Belgium	24/03/2020
EPI_ISL_419266	Belgium	24/03/2020
EPI_ISL_419296	Japan	08/03/2020
EPI_ISL_419297	Japan	10/03/2020
EPI_ISL_419298	Japan	10/03/2020
EPI_ISL_419299	Japan	09/03/2020
EPI_ISL_419300	Japan	20/03/2020
EPI_ISL_419301	Japan	11/03/2020
EPI_ISL_419302	Japan	12/03/2020
EPI_ISL_419303	Japan	12/03/2020
EPI_ISL_419304	Japan	17/03/2020
EPI_ISL_419305	Japan	18/03/2020
EPI_ISL_419306	Japan	20/03/2020
EPI_ISL_419307	Japan	20/03/2020
EPI_ISL_419308	Japan	19/03/2020
EPI_ISL_419309	Japan	12/03/2020
EPI_ISL_419310	Japan	13/03/2020
EPI_ISL_419311	Japan	13/03/2020
EPI_ISL_419313	Pakistan	12/03/2020
EPI_ISL_419386	Portugal	18/03/2020
EPI_ISL_419387	Portugal	18/03/2020
EPI_ISL_419388	USA	14/03/2020
EPI_ISL_419390	USA	14/03/2020
EPI_ISL_419391	USA	14/03/2020
EPI_ISL_419392	USA	13/03/2020
EPI_ISL_419393	USA	14/03/2020
EPI_ISL_419394	USA	14/03/2020
EPI_ISL_419395	USA	14/03/2020
EPI_ISL_419396	USA	14/03/2020
EPI_ISL_419397	USA	14/03/2020
EPI_ISL_419399	United Kingdom	18/03/2020
EPI_ISL_419400	United Kingdom	16/03/2020
EPI_ISL_419402	United Kingdom	16/03/2020
EPI_ISL_419404	United Kingdom	16/03/2020
EPI_ISL_419405	United Kingdom	16/03/2020
EPI_ISL_419406	United Kingdom	17/03/2020
EPI_ISL_419407	United Kingdom	16/03/2020
EPI_ISL_419409	United Kingdom	17/03/2020
EPI_ISL_419411	United Kingdom	17/03/2020
EPI_ISL_419412	United Kingdom	17/03/2020
EPI_ISL_419413	United Kingdom	17/03/2020
EPI_ISL_419417	United Kingdom	18/03/2020
EPI_ISL_419418	United Kingdom	18/03/2020
EPI_ISL_419420	United Kingdom	18/03/2020
EPI_ISL_419421	United Kingdom	18/03/2020
EPI_ISL_419422	United Kingdom	18/03/2020
EPI_ISL_419424	United Kingdom	18/03/2020
EPI_ISL_419425	United Kingdom	18/03/2020
EPI_ISL_419426	United Kingdom	18/03/2020
EPI_ISL_419428	United Kingdom	17/03/2020
EPI_ISL_419430	United Kingdom	17/03/2020
EPI_ISL_419431	United Kingdom	17/03/2020
EPI_ISL_419433	United Kingdom	17/03/2020
EPI_ISL_419434	United Kingdom	17/03/2020
EPI_ISL_419436	United Kingdom	17/03/2020
EPI_ISL_419437	United Kingdom	19/03/2020
EPI_ISL_419438	United Kingdom	18/03/2020
EPI_ISL_419439	United Kingdom	17/03/2020
EPI_ISL_419440	United Kingdom	17/03/2020
EPI_ISL_419443	United Kingdom	18/03/2020
EPI_ISL_419446	United Kingdom	19/03/2020
EPI_ISL_419447	United Kingdom	19/03/2020
EPI_ISL_419448	United Kingdom	18/03/2020
EPI_ISL_419449	United Kingdom	17/03/2020
EPI_ISL_419450	United Kingdom	17/03/2020
EPI_ISL_419453	United Kingdom	19/03/2020
EPI_ISL_419454	United Kingdom	19/03/2020
EPI_ISL_419455	United Kingdom	19/03/2020
EPI_ISL_419458	United Kingdom	19/03/2020
EPI_ISL_419459	United Kingdom	19/03/2020
EPI_ISL_419460	United Kingdom	19/03/2020
EPI_ISL_419462	United Kingdom	19/03/2020
EPI_ISL_419463	United Kingdom	19/03/2020
EPI_ISL_419464	United Kingdom	19/03/2020
EPI_ISL_419465	United Kingdom	19/03/2020
EPI_ISL_419466	United Kingdom	19/03/2020
EPI_ISL_419468	United Kingdom	19/03/2020
EPI_ISL_419469	United Kingdom	19/03/2020
EPI_ISL_419470	United Kingdom	19/03/2020
EPI_ISL_419471	United Kingdom	19/03/2020
EPI_ISL_419472	United Kingdom	20/03/2020
EPI_ISL_419473	United Kingdom	20/03/2020
EPI_ISL_419474	United Kingdom	20/03/2020
EPI_ISL_419476	United Kingdom	20/03/2020
EPI_ISL_419477	United Kingdom	20/03/2020
EPI_ISL_419478	United Kingdom	20/03/2020
EPI_ISL_419480	United Kingdom	20/03/2020
EPI_ISL_419482	United Kingdom	20/03/2020
EPI_ISL_419484	United Kingdom	20/03/2020
EPI_ISL_419485	United Kingdom	20/03/2020
EPI_ISL_419486	United Kingdom	20/03/2020
EPI_ISL_419487	United Kingdom	20/03/2020
EPI_ISL_419488	United Kingdom	20/03/2020
EPI_ISL_419489	United Kingdom	20/03/2020
EPI_ISL_419491	United Kingdom	20/03/2020
EPI_ISL_419493	United Kingdom	20/03/2020
EPI_ISL_419495	United Kingdom	20/03/2020
EPI_ISL_419496	United Kingdom	20/03/2020
EPI_ISL_419497	United Kingdom	20/03/2020
EPI_ISL_419498	United Kingdom	20/03/2020
EPI_ISL_419499	United Kingdom	20/03/2020
EPI_ISL_419502	United Kingdom	20/03/2020
EPI_ISL_419503	United Kingdom	20/03/2020
EPI_ISL_419504	United Kingdom	20/03/2020
EPI_ISL_419505	United Kingdom	20/03/2020
EPI_ISL_419506	United Kingdom	20/03/2020
EPI_ISL_419508	United Kingdom	20/03/2020
EPI_ISL_419509	United Kingdom	20/03/2020
EPI_ISL_419510	United Kingdom	20/03/2020
EPI_ISL_419515	USA	24/03/2020
EPI_ISL_419516	USA	25/03/2020
EPI_ISL_419517	USA	19/03/2020
EPI_ISL_419518	USA	19/03/2020
EPI_ISL_419519	USA	19/03/2020
EPI_ISL_419520	USA	19/03/2020
EPI_ISL_419521	USA	18/03/2020
EPI_ISL_419522	USA	18/03/2020
EPI_ISL_419524	USA	15/03/2020
EPI_ISL_419525	USA	16/03/2020
EPI_ISL_419526	USA	16/03/2020
EPI_ISL_419528	USA	13/03/2020
EPI_ISL_419530	Germany	11/03/2020
EPI_ISL_419531	Germany	11/03/2020
EPI_ISL_419532	Germany	11/03/2020
EPI_ISL_419533	Germany	11/03/2020
EPI_ISL_419534	Germany	11/03/2020
EPI_ISL_419535	Germany	13/03/2020
EPI_ISL_419536	Germany	14/03/2020
EPI_ISL_419537	Germany	14/03/2020
EPI_ISL_419538	Germany	14/03/2020
EPI_ISL_419539	Germany	15/03/2020
EPI_ISL_419540	Germany	16/03/2020
EPI_ISL_419541	Germany	14/03/2020
EPI_ISL_419542	Germany	15/03/2020
EPI_ISL_419543	Germany	15/03/2020
EPI_ISL_419544	Germany	15/03/2020
EPI_ISL_419545	Germany	15/03/2020
EPI_ISL_419546	Germany	15/03/2020
EPI_ISL_419547	Germany	15/03/2020
EPI_ISL_419548	Germany	15/03/2020
EPI_ISL_419549	Germany	15/03/2020
EPI_ISL_419550	Germany	16/03/2020
EPI_ISL_419551	Germany	16/03/2020
EPI_ISL_419552	Germany	16/03/2020
EPI_ISL_419553	USA	28/02/2020
EPI_ISL_419554	USA	26/02/2020
EPI_ISL_419555	USA	27/02/2020
EPI_ISL_419556	USA	29/02/2020
EPI_ISL_419557	USA	29/02/2020
EPI_ISL_419558	USA	27/02/2020
EPI_ISL_419559	USA	28/02/2020
EPI_ISL_419560	USA	28/02/2020
EPI_ISL_419561	USA	29/02/2020
EPI_ISL_419562	Luxembourg	29/02/2020
EPI_ISL_419563	Luxembourg	12/03/2020
EPI_ISL_419564	Luxembourg	15/03/2020
EPI_ISL_419565	Luxembourg	09/03/2020
EPI_ISL_419566	Luxembourg	05/03/2020
EPI_ISL_419567	Luxembourg	15/03/2020
EPI_ISL_419568	Luxembourg	14/03/2020
EPI_ISL_419569	Luxembourg	07/03/2020
EPI_ISL_419570	Luxembourg	12/03/2020
EPI_ISL_419571	Luxembourg	06/03/2020
EPI_ISL_419572	Luxembourg	10/03/2020
EPI_ISL_419573	Luxembourg	11/03/2020
EPI_ISL_419574	Luxembourg	16/03/2020
EPI_ISL_419575	Luxembourg	14/03/2020
EPI_ISL_419576	Luxembourg	17/03/2020
EPI_ISL_419577	Luxembourg	12/03/2020
EPI_ISL_419578	Luxembourg	08/03/2020
EPI_ISL_419579	Luxembourg	14/03/2020
EPI_ISL_419580	Luxembourg	12/03/2020
EPI_ISL_419581	Luxembourg	11/03/2020
EPI_ISL_419582	Luxembourg	13/03/2020
EPI_ISL_419583	Luxembourg	15/03/2020
EPI_ISL_419584	Luxembourg	13/03/2020
EPI_ISL_419585	Luxembourg	14/03/2020
EPI_ISL_419586	Luxembourg	14/03/2020
EPI_ISL_419587	Luxembourg	11/03/2020
EPI_ISL_419588	Luxembourg	16/03/2020
EPI_ISL_419589	Luxembourg	15/03/2020
EPI_ISL_419590	Luxembourg	11/03/2020
EPI_ISL_419591	Luxembourg	14/03/2020
EPI_ISL_419592	Luxembourg	15/03/2020
EPI_ISL_419593	Luxembourg	16/03/2020
EPI_ISL_419594	Luxembourg	16/03/2020
EPI_ISL_419595	Luxembourg	12/03/2020
EPI_ISL_419596	Luxembourg	12/03/2020
EPI_ISL_419597	Luxembourg	15/03/2020
EPI_ISL_419598	Luxembourg	14/03/2020
EPI_ISL_419599	Luxembourg	16/03/2020
EPI_ISL_419600	Luxembourg	13/03/2020
EPI_ISL_419601	Luxembourg	15/03/2020
EPI_ISL_419602	Luxembourg	12/03/2020
EPI_ISL_419603	Luxembourg	16/03/2020
EPI_ISL_419604	Luxembourg	15/03/2020
EPI_ISL_419605	Luxembourg	12/03/2020
EPI_ISL_419606	Luxembourg	11/03/2020
EPI_ISL_419607	Luxembourg	14/03/2020
EPI_ISL_419651	USA	29/03/2020
EPI_ISL_419652	USA	25/03/2020
EPI_ISL_419654	Austria	03/03/2020
EPI_ISL_419655	Austria	26/02/2020
EPI_ISL_419656	Austria	26/02/2020
EPI_ISL_419657	Austria	03/03/2020
EPI_ISL_419658	Austria	06/03/2020
EPI_ISL_419659	Austria	10/03/2020
EPI_ISL_419660	Austria	13/03/2020
EPI_ISL_419661	Austria	10/03/2020
EPI_ISL_419662	Austria	14/03/2020
EPI_ISL_419663	Austria	15/03/2020
EPI_ISL_419664	Austria	23/03/2020
EPI_ISL_419665	Austria	10/03/2020
EPI_ISL_419666	Austria	11/03/2020
EPI_ISL_419667	Austria	13/03/2020
EPI_ISL_419668	Austria	13/03/2020
EPI_ISL_419669	Austria	16/03/2020
EPI_ISL_419670	Austria	16/03/2020
EPI_ISL_419671	Austria	19/03/2020
EPI_ISL_419672	Austria	19/03/2020
EPI_ISL_419673	Austria	22/03/2020
EPI_ISL_419674	Austria	24/03/2020
EPI_ISL_419675	Spain	20/03/2020
EPI_ISL_419676	Spain	09/03/2020
EPI_ISL_419677	Spain	09/03/2020
EPI_ISL_419678	Spain	09/03/2020
EPI_ISL_419679	Spain	02/03/2020
EPI_ISL_419680	Spain	10/03/2020
EPI_ISL_419681	Spain	10/03/2020
EPI_ISL_419682	Spain	10/03/2020
EPI_ISL_419683	Spain	08/03/2020
EPI_ISL_419684	Spain	09/03/2020
EPI_ISL_419685	Spain	10/03/2020
EPI_ISL_419686	Spain	09/03/2020
EPI_ISL_419691	Latvia	01/03/2020
EPI_ISL_419692	Belarus	01/03/2020
EPI_ISL_419693	Belarus	01/03/2020
EPI_ISL_419696	USA	18/03/2020
EPI_ISL_419697	USA	18/03/2020
EPI_ISL_419698	USA	18/03/2020
EPI_ISL_419699	USA	18/03/2020
EPI_ISL_419700	USA	18/03/2020
EPI_ISL_419702	USA	18/03/2020
EPI_ISL_419703	USA	18/03/2020
EPI_ISL_419704	USA	18/03/2020
EPI_ISL_419705	USA	18/03/2020
EPI_ISL_419706	USA	10/03/2020
EPI_ISL_419708	USA	12/03/2020
EPI_ISL_419709	Spain	04/03/2020
EPI_ISL_419710	USA	12/03/2020
EPI_ISL_419711	USA	11/03/2020
EPI_ISL_419712	USA	10/03/2020
EPI_ISL_419713	USA	11/03/2020
EPI_ISL_419714	Australia	18/03/2020
EPI_ISL_419715	Australia	18/03/2020
EPI_ISL_419716	Australia	18/03/2020
EPI_ISL_419717	Australia	19/03/2020
EPI_ISL_419718	Australia	18/03/2020
EPI_ISL_419719	Australia	20/03/2020
EPI_ISL_419720	Australia	17/03/2020
EPI_ISL_419721	Australia	19/03/2020
EPI_ISL_419722	Australia	19/03/2020
EPI_ISL_419723	Australia	18/03/2020
EPI_ISL_419724	Australia	20/03/2020
EPI_ISL_419725	Australia	18/03/2020
EPI_ISL_419726	Australia	19/03/2020
EPI_ISL_419727	Australia	19/03/2020
EPI_ISL_419728	Australia	20/03/2020
EPI_ISL_419729	Australia	20/03/2020
EPI_ISL_419730	Australia	20/03/2020
EPI_ISL_419731	Australia	20/03/2020
EPI_ISL_419732	Australia	21/03/2020
EPI_ISL_419733	Australia	31/01/2020
EPI_ISL_419734	Australia	02/02/2020
EPI_ISL_419735	Australia	24/02/2020
EPI_ISL_419736	Australia	07/03/2020
EPI_ISL_419737	Australia	07/03/2020
EPI_ISL_419738	Australia	08/03/2020
EPI_ISL_419739	Australia	09/03/2020
EPI_ISL_419740	Australia	09/03/2020
EPI_ISL_419741	Australia	08/03/2020
EPI_ISL_419742	Australia	09/03/2020
EPI_ISL_419743	Australia	09/03/2020
EPI_ISL_419744	Australia	10/03/2020
EPI_ISL_419745	Australia	10/03/2020
EPI_ISL_419746	Australia	10/03/2020
EPI_ISL_419747	Australia	10/03/2020
EPI_ISL_419748	Australia	10/03/2020
EPI_ISL_419749	Australia	10/03/2020
EPI_ISL_419750	Australia	10/03/2020
EPI_ISL_419751	Australia	10/03/2020
EPI_ISL_419752	Australia	10/03/2020
EPI_ISL_419753	Australia	10/03/2020
EPI_ISL_419754	Australia	11/03/2020
EPI_ISL_419755	Australia	10/03/2020
EPI_ISL_419756	Australia	11/03/2020
EPI_ISL_419757	Australia	11/03/2020
EPI_ISL_419758	Australia	11/03/2020
EPI_ISL_419759	Australia	12/03/2020
EPI_ISL_419760	Australia	11/03/2020
EPI_ISL_419761	Australia	11/03/2020
EPI_ISL_419762	Australia	12/03/2020
EPI_ISL_419763	Australia	11/03/2020
EPI_ISL_419764	Australia	12/03/2020
EPI_ISL_419765	Australia	10/03/2020
EPI_ISL_419766	Australia	12/03/2020
EPI_ISL_419767	Australia	11/03/2020
EPI_ISL_419768	Australia	12/03/2020
EPI_ISL_419769	Australia	12/03/2020
EPI_ISL_419770	Australia	12/03/2020
EPI_ISL_419771	Australia	13/03/2020
EPI_ISL_419772	Australia	13/03/2020
EPI_ISL_419773	Australia	13/03/2020
EPI_ISL_419774	Australia	13/03/2020
EPI_ISL_419775	Australia	13/03/2020
EPI_ISL_419776	Australia	12/03/2020
EPI_ISL_419777	Australia	12/03/2020
EPI_ISL_419778	Australia	13/03/2020
EPI_ISL_419779	Australia	12/03/2020
EPI_ISL_419780	Australia	13/03/2020
EPI_ISL_419781	Australia	13/03/2020
EPI_ISL_419782	Australia	13/03/2020
EPI_ISL_419783	Australia	13/03/2020
EPI_ISL_419784	Australia	12/03/2020
EPI_ISL_419785	Australia	14/03/2020
EPI_ISL_419786	Australia	13/03/2020
EPI_ISL_419787	Australia	14/03/2020
EPI_ISL_419788	Australia	14/03/2020
EPI_ISL_419789	Australia	14/03/2020
EPI_ISL_419790	Australia	14/03/2020
EPI_ISL_419791	Australia	14/03/2020
EPI_ISL_419792	Australia	14/03/2020
EPI_ISL_419793	Australia	14/03/2020
EPI_ISL_419794	Australia	14/03/2020
EPI_ISL_419795	Australia	15/03/2020
EPI_ISL_419796	Australia	15/03/2020
EPI_ISL_419797	Australia	15/03/2020
EPI_ISL_419798	Australia	15/03/2020
EPI_ISL_419799	Australia	14/03/2020
EPI_ISL_419800	Australia	15/03/2020
EPI_ISL_419801	Australia	15/03/2020
EPI_ISL_419802	Australia	11/03/2020
EPI_ISL_419803	Australia	14/03/2020
EPI_ISL_419804	Australia	15/03/2020
EPI_ISL_419805	Australia	16/03/2020
EPI_ISL_419806	Australia	16/03/2020
EPI_ISL_419807	Australia	16/03/2020
EPI_ISL_419808	Australia	16/03/2020
EPI_ISL_419809	Australia	15/03/2020
EPI_ISL_419810	Australia	16/03/2020
EPI_ISL_419811	Australia	16/03/2020
EPI_ISL_419812	Australia	16/03/2020
EPI_ISL_419813	Australia	16/03/2020
EPI_ISL_419814	Australia	17/03/2020
EPI_ISL_419815	Australia	15/03/2020
EPI_ISL_419816	Australia	11/03/2020
EPI_ISL_419817	Australia	16/03/2020
EPI_ISL_419818	Australia	17/03/2020
EPI_ISL_419819	Australia	17/03/2020
EPI_ISL_419820	Australia	17/03/2020
EPI_ISL_419821	Australia	18/03/2020
EPI_ISL_419822	Australia	18/03/2020
EPI_ISL_419823	Australia	21/03/2020
EPI_ISL_419824	Australia	21/03/2020
EPI_ISL_419825	Australia	22/03/2020
EPI_ISL_419826	Australia	12/03/2020
EPI_ISL_419827	Australia	22/03/2020
EPI_ISL_419828	Australia	22/03/2020
EPI_ISL_419829	Australia	22/03/2020
EPI_ISL_419830	Australia	22/03/2020
EPI_ISL_419831	Australia	21/02/2020
EPI_ISL_419832	Australia	21/02/2020
EPI_ISL_419833	Australia	22/02/2020
EPI_ISL_419834	Australia	23/02/2020
EPI_ISL_419835	Australia	24/02/2020
EPI_ISL_419836	Australia	15/03/2020
EPI_ISL_419837	Australia	16/03/2020
EPI_ISL_419838	Australia	16/03/2020
EPI_ISL_419839	Australia	16/03/2020
EPI_ISL_419840	Australia	16/03/2020
EPI_ISL_419841	Australia	17/03/2020
EPI_ISL_419842	Australia	17/03/2020
EPI_ISL_419843	Australia	17/03/2020
EPI_ISL_419844	Australia	17/03/2020
EPI_ISL_419845	Australia	17/03/2020
EPI_ISL_419846	Australia	17/03/2020
EPI_ISL_419847	Australia	17/03/2020
EPI_ISL_419848	Australia	17/03/2020
EPI_ISL_419849	Australia	17/03/2020
EPI_ISL_419850	Australia	17/03/2020
EPI_ISL_419851	Australia	17/03/2020
EPI_ISL_419852	Australia	17/03/2020
EPI_ISL_419853	Australia	17/03/2020
EPI_ISL_419854	Australia	17/03/2020
EPI_ISL_419855	Australia	18/03/2020
EPI_ISL_419856	Australia	18/03/2020
EPI_ISL_419857	Australia	18/03/2020
EPI_ISL_419859	Australia	18/03/2020
EPI_ISL_419860	Australia	18/03/2020
EPI_ISL_419861	Australia	18/03/2020
EPI_ISL_419862	Australia	18/03/2020
EPI_ISL_419863	Australia	18/03/2020
EPI_ISL_419864	Australia	18/03/2020
EPI_ISL_419865	Australia	18/03/2020
EPI_ISL_419866	Australia	18/03/2020
EPI_ISL_419867	Australia	18/03/2020
EPI_ISL_419868	Australia	18/03/2020
EPI_ISL_419869	Australia	18/03/2020
EPI_ISL_419870	Australia	18/03/2020
EPI_ISL_419871	Australia	18/03/2020
EPI_ISL_419872	Australia	18/03/2020
EPI_ISL_419873	Australia	18/03/2020
EPI_ISL_419874	Australia	18/03/2020
EPI_ISL_419875	Australia	18/03/2020
EPI_ISL_419876	Australia	18/03/2020
EPI_ISL_419877	Australia	19/03/2020
EPI_ISL_419878	Australia	19/03/2020
EPI_ISL_419879	Australia	19/03/2020
EPI_ISL_419880	Australia	19/03/2020
EPI_ISL_419881	Australia	19/03/2020
EPI_ISL_419882	Australia	19/03/2020
EPI_ISL_419883	Australia	19/03/2020
EPI_ISL_419884	Australia	19/03/2020
EPI_ISL_419885	Australia	19/03/2020
EPI_ISL_419886	Australia	19/03/2020
EPI_ISL_419887	Australia	19/03/2020
EPI_ISL_419888	Australia	19/03/2020
EPI_ISL_419889	Australia	19/03/2020
EPI_ISL_419890	Australia	19/03/2020
EPI_ISL_419891	Australia	19/03/2020
EPI_ISL_419892	Australia	19/03/2020
EPI_ISL_419893	Australia	19/03/2020
EPI_ISL_419894	Australia	19/03/2020
EPI_ISL_419895	Australia	19/03/2020
EPI_ISL_419896	Australia	19/03/2020
EPI_ISL_419897	Australia	19/03/2020
EPI_ISL_419898	Australia	19/03/2020
EPI_ISL_419899	Australia	19/03/2020
EPI_ISL_419900	Australia	19/03/2020
EPI_ISL_419901	Australia	19/03/2020
EPI_ISL_419902	Australia	19/03/2020
EPI_ISL_419903	Australia	20/03/2020
EPI_ISL_419904	Australia	20/03/2020
EPI_ISL_419905	Australia	20/03/2020
EPI_ISL_419906	Australia	20/03/2020
EPI_ISL_419907	Australia	20/03/2020
EPI_ISL_419908	Australia	20/03/2020
EPI_ISL_419909	Australia	20/03/2020
EPI_ISL_419910	Australia	20/03/2020
EPI_ISL_419911	Australia	20/03/2020
EPI_ISL_419912	Australia	20/03/2020
EPI_ISL_419913	Australia	20/03/2020
EPI_ISL_419914	Australia	20/03/2020
EPI_ISL_419915	Australia	20/03/2020
EPI_ISL_419916	Australia	20/03/2020
EPI_ISL_419917	Australia	20/03/2020
EPI_ISL_419918	Australia	20/03/2020
EPI_ISL_419919	Australia	20/03/2020
EPI_ISL_419920	Australia	20/03/2020
EPI_ISL_419921	Australia	20/03/2020
EPI_ISL_419922	Australia	20/03/2020
EPI_ISL_419923	Australia	20/03/2020
EPI_ISL_419924	Australia	21/03/2020
EPI_ISL_419925	Australia	21/03/2020
EPI_ISL_419926	Australia	21/03/2020
EPI_ISL_419927	Australia	21/03/2020
EPI_ISL_419928	Australia	21/03/2020
EPI_ISL_419929	Australia	21/03/2020
EPI_ISL_419931	Australia	21/03/2020
EPI_ISL_419932	Australia	21/03/2020
EPI_ISL_419933	Australia	21/03/2020
EPI_ISL_419934	Australia	21/03/2020
EPI_ISL_419935	Australia	21/03/2020
EPI_ISL_419936	Australia	21/03/2020
EPI_ISL_419937	Australia	21/03/2020
EPI_ISL_419938	Australia	21/03/2020
EPI_ISL_419939	Australia	21/03/2020
EPI_ISL_419940	Australia	21/03/2020
EPI_ISL_419941	Australia	21/03/2020
EPI_ISL_419942	Australia	21/03/2020
EPI_ISL_419943	Australia	21/03/2020
EPI_ISL_419944	Australia	21/03/2020
EPI_ISL_419945	Australia	21/03/2020
EPI_ISL_419946	Australia	21/03/2020
EPI_ISL_419947	Australia	21/03/2020
EPI_ISL_419948	Australia	21/03/2020
EPI_ISL_419949	Australia	21/03/2020
EPI_ISL_419950	Australia	21/03/2020
EPI_ISL_419951	Australia	21/03/2020
EPI_ISL_419952	Australia	21/03/2020
EPI_ISL_419953	Australia	21/03/2020
EPI_ISL_419954	Australia	21/03/2020
EPI_ISL_419955	Australia	21/03/2020
EPI_ISL_419956	Australia	21/03/2020
EPI_ISL_419957	Australia	22/03/2020
EPI_ISL_419958	Australia	22/03/2020
EPI_ISL_419959	Australia	22/03/2020
EPI_ISL_419960	Australia	22/03/2020
EPI_ISL_419961	Australia	22/03/2020
EPI_ISL_419962	Australia	22/03/2020
EPI_ISL_419963	Australia	22/03/2020
EPI_ISL_419964	Australia	22/03/2020
EPI_ISL_419965	Australia	22/03/2020
EPI_ISL_419966	Australia	22/03/2020
EPI_ISL_419967	Australia	22/03/2020
EPI_ISL_419968	Australia	22/03/2020
EPI_ISL_419969	Australia	22/03/2020
EPI_ISL_419970	Australia	22/03/2020
EPI_ISL_419971	Australia	22/03/2020
EPI_ISL_419972	Australia	22/03/2020
EPI_ISL_419973	Australia	22/03/2020
EPI_ISL_419974	Australia	22/03/2020
EPI_ISL_419975	Australia	22/03/2020
EPI_ISL_419976	Australia	22/03/2020
EPI_ISL_419977	Australia	22/03/2020
EPI_ISL_419978	Australia	22/03/2020
EPI_ISL_419979	Australia	22/03/2020
EPI_ISL_419980	Australia	22/03/2020
EPI_ISL_419981	Australia	22/03/2020
EPI_ISL_419982	Australia	23/03/2020
EPI_ISL_419983	Australia	23/03/2020
