id	country	sampling date d/m/Y
EPI_ISL_414598	Spain	05/03/2020
EPI_ISL_414600	France	26/02/2020
EPI_ISL_414616	USA	08/03/2020
EPI_ISL_414617	USA	08/03/2020
EPI_ISL_414618	USA	08/03/2020
EPI_ISL_414619	USA	07/03/2020
EPI_ISL_414620	USA	08/03/2020
EPI_ISL_414621	USA	07/03/2020
EPI_ISL_414622	USA	08/03/2020
EPI_ISL_414623	France	25/02/2020
EPI_ISL_414624	France	26/02/2020
EPI_ISL_414625	France	26/02/2020
EPI_ISL_414626	France	29/02/2020
EPI_ISL_414627	France	02/03/2020
EPI_ISL_414628	France	02/03/2020
EPI_ISL_414629	France	03/03/2020
EPI_ISL_414630	France	03/03/2020
EPI_ISL_414631	France	04/03/2020
EPI_ISL_414632	France	04/03/2020
EPI_ISL_414633	France	04/03/2020
EPI_ISL_414634	France	04/03/2020
EPI_ISL_414635	France	04/03/2020
EPI_ISL_414636	France	04/03/2020
EPI_ISL_414637	France	04/03/2020
EPI_ISL_414638	France	04/03/2020
EPI_ISL_414640	Finland	01/03/2020
EPI_ISL_414641	Finland	05/03/2020
EPI_ISL_414642	Finland	08/03/2020
EPI_ISL_414643	Finland	07/03/2020
EPI_ISL_414644	Finland	04/03/2020
EPI_ISL_414645	Finland	04/03/2020
EPI_ISL_414646	Finland	04/03/2020
EPI_ISL_414647	Democratic Republic of the Congo	09/03/2020
EPI_ISL_414648	USA	11/03/2020
EPI_ISL_414663	China	25/02/2020
EPI_ISL_414686	China	27/02/2020
EPI_ISL_414687	China	25/02/2020
EPI_ISL_414688	China	25/02/2020
EPI_ISL_414689	China	25/02/2020
EPI_ISL_414690	China	25/02/2020
EPI_ISL_414691	China	25/02/2020
EPI_ISL_414692	China	25/02/2020
EPI_ISL_414936	China	23/01/2020
EPI_ISL_414937	China	26/01/2020
EPI_ISL_414938	China	24/01/2020
EPI_ISL_414939	China	25/01/2020
EPI_ISL_414940	China	25/01/2020
EPI_ISL_414941	China	30/01/2020
EPI_ISL_414949	United Kingdom	26/02/2020
EPI_ISL_415041	United Kingdom	07/03/2020
EPI_ISL_415105	Brazil	04/03/2020
EPI_ISL_415128	Brazil	29/02/2020
EPI_ISL_415129	United Kingdom	29/02/2020
EPI_ISL_415130	United Kingdom	01/03/2020
EPI_ISL_415131	United Kingdom	29/02/2020
EPI_ISL_415132	United Kingdom	28/02/2020
EPI_ISL_415133	United Kingdom	29/02/2020
EPI_ISL_415134	United Kingdom	29/02/2020
EPI_ISL_415135	United Kingdom	28/02/2020
EPI_ISL_415136	United Kingdom	29/02/2020
EPI_ISL_415137	United Kingdom	02/03/2020
EPI_ISL_415138	United Kingdom	02/03/2020
EPI_ISL_415139	United Kingdom	01/03/2020
EPI_ISL_415140	United Kingdom	29/02/2020
EPI_ISL_415141	United Kingdom	29/02/2020
EPI_ISL_415142	United Kingdom	02/03/2020
EPI_ISL_415143	United Kingdom	02/03/2020
EPI_ISL_415144	United Kingdom	27/02/2020
EPI_ISL_415145	United Kingdom	01/03/2020
EPI_ISL_415146	United Kingdom	01/03/2020
EPI_ISL_415147	United Kingdom	01/03/2020
EPI_ISL_415148	United Kingdom	03/03/2020
EPI_ISL_415149	United Kingdom	01/03/2020
EPI_ISL_415150	United Kingdom	09/03/2020
EPI_ISL_415151	USA	04/03/2020
EPI_ISL_415153	Belgium	03/03/2020
EPI_ISL_415154	Belgium	01/03/2020
EPI_ISL_415155	Belgium	01/03/2020
EPI_ISL_415156	Belgium	01/03/2020
EPI_ISL_415157	Belgium	01/03/2020
EPI_ISL_415158	Belgium	01/03/2020
EPI_ISL_415159	Belgium	29/02/2020
EPI_ISL_415435	United Kingdom	06/03/2020
EPI_ISL_415453	United Kingdom	10/03/2020
EPI_ISL_415454	Switzerland	28/02/2020
EPI_ISL_415455	Switzerland	28/02/2020
EPI_ISL_415456	Switzerland	29/02/2020
EPI_ISL_415457	Switzerland	29/02/2020
EPI_ISL_415458	Switzerland	01/03/2020
EPI_ISL_415459	Switzerland	29/02/2020
EPI_ISL_415460	Netherlands	09/03/2020
EPI_ISL_415461	Netherlands	10/03/2020
EPI_ISL_415462	Netherlands	09/03/2020
EPI_ISL_415463	Netherlands	09/03/2020
EPI_ISL_415465	Netherlands	10/03/2020
EPI_ISL_415466	Netherlands	09/03/2020
EPI_ISL_415467	Netherlands	10/03/2020
EPI_ISL_415468	Netherlands	10/03/2020
EPI_ISL_415469	Netherlands	10/03/2020
EPI_ISL_415470	Netherlands	10/03/2020
EPI_ISL_415471	Netherlands	11/03/2020
EPI_ISL_415472	Netherlands	11/03/2020
EPI_ISL_415473	Netherlands	09/03/2020
EPI_ISL_415474	Netherlands	09/03/2020
EPI_ISL_415475	Netherlands	12/03/2020
EPI_ISL_415476	Netherlands	10/03/2020
EPI_ISL_415477	Netherlands	12/03/2020
EPI_ISL_415478	Netherlands	08/03/2020
EPI_ISL_415479	Netherlands	08/03/2020
EPI_ISL_415480	Netherlands	09/03/2020
EPI_ISL_415481	Netherlands	08/03/2020
